"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora"
"World";"WOR";"World Cup";"30-06-2026 14:00";"NS";"Côte d'Ivoire";"";"";"Norway";"5.3 | 5.3";"4.7 | 3.4";"9.4";"80";"65";"50";"20";"24.5";"13.1 | 12.9";"11.1 | 11.9";"7.8";"3.8 | 4.5";"3.2 | 4.2";"8.9";"80 | 70";"60 | 70";"9";"5.3 | 5.3"
"World";"WOR";"World Cup";"30-06-2026 18:00";"NS";"France";"";"";"Sweden";"5.9 | 4.5";"2.6 | 4.5";"8.8";"55";"55";"40";"25";"23.4";"17.3 | 11";"6.8 | 11.7";"9.1";"6.4 | 4.8";"2.3 | 4.7";"8.9";"70 | 50";"80 | 40";"9";"5.1 | 5.1"
"World";"WOR";"World Cup";"30-06-2026 22:00";"NS";"Mexico";"";"";"Ecuador";"3.9 | 5.1";"2.7 | 2.3";"7";"45";"30";"25";"15";"19.8";"12.3 | 12.1";"7.1 | 8.2";"6.9";"4.6 | 4.9";"1.9 | 2.4";"8.9";"60 | 50";"60 | 60";"8";"5.6 | 9.1"
"Brazil";"BRA";"Serie B";"30-06-2026 20:00";"NS";"Botafogo SP";"";"";"CRB";"6.2 | 5.5";"4.8 | 5.3";"10.9";"75";"65";"60";"50";"28.8";"12.1 | 20.4";"11.9 | 13.3";"9.4";"3.8 | 6.9";"3.3 | 4.9";"10.4";"50 | 70";"50 | 50";"10";"12.4 | 7.9"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Marítimo";"";"";"Atlético Ávila";"3.8 | 2.8";"3.2 | 4.8";"7.3";"40";"30";"25";"15";"15.7";"8.6 | 7.2";"5.8 | 9.8";"6.4";"4 | 2.1";"2.8 | 3.9";"";"50 | 60";"50 | 30";"";"6.1 | 9"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Deportivo Miranda FC";"";"";"Academia Anzoátegui";"3.3 | 3.8";"4.4 | 4.4";"8";"55";"50";"35";"10";"21.3";"7.5 | 11.9";"8 | 15.2";"8.2";"3 | 3.9";"4 | 5.4";"";"40 | 80";"40 | 50";"";"12.5 | 9.2"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Aragua";"";"";"Yaracuyanos";"3.7 | 7";"3.3 | 4.2";"9.1";"70";"50";"35";"30";"22.2";"12 | 11.7";"10.3 | 10.3";"9.5";"5.3 | 5.2";"4 | 4.5";"";"40 | 70";"50 | 80";"";"13.3 | 6.9"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Caracas";"";"";"Fundación Lara Deportiva";"3.6 | 6.1";"5.3 | 2.9";"9";"70";"55";"45";"35";"25.8";"13.5 | 12.8";"17.1 | 8.1";"9.7";"4.8 | 5.2";"5.4 | 4";"";"30 | 80";"20 | 80";"";"8.4 | 10.7"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Bolívar SC";"";"";"Monagas";"3.2 | 2.2";"4 | 4.3";"6.9";"26";"16";"10";"10";"20.6";"7.5 | 11.9";"10.6 | 11.1";"6.8";"2.8 | 3.2";"4.1 | 3.4";"";"50 | 11";"10 | 33";"";"6.8 | 7.4"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Mineros de Guayana";"";"";"Dinamo Puerto La Cruz";"5.2 | 3.3";"2.6 | 3.1";"7.1";"42";"26";"20";"10";"17.8";"10.7 | 8.8";"7.7 | 8.3";"6.7";"3.4 | 3.9";"3.1 | 3";"";"40 | 44";"70 | 56";"";"15.3 | 9.8"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Atlético El Vigía";"";"";"Atlético Barinas";"4.1 | 5";"5.2 | 4.6";"9.4";"74";"64";"53";"32";"21.2";"7.7 | 11.6";"13.3 | 9.8";"9";"3 | 4.4";"6.6 | 3.9";"";"33 | 60";"44 | 60";"";"11 | 5.5"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Zamora Fútbol Club";"";"";"Real Frontera";"5 | 3";"5 | 5.7";"9.4";"60";"55";"45";"40";"24";"12 | 7.9";"12.5 | 15.5";"8.1";"4.3 | 3.4";"3.7 | 4.8";"";"50 | 50";"50 | 20";"";"8 | 8.8"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Trujillanos";"";"";"Deportivo Lara";"4.8 | 4.9";"2.8 | 4.1";"8.3";"60";"45";"45";"35";"17.4";"8.4 | 8.9";"9 | 8.4";"7.6";"3.6 | 3.9";"3.8 | 3.8";"";"70 | 40";"70 | 50";"";"14 | 5.6"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Rayo Zuliano";"";"";"Ureña";"3.6 | 4";"5.9 | 6.1";"9.8";"80";"64";"42";"32";"22";"10 | 11.9";"14.3 | 7.9";"7.9";"2.9 | 4.8";"5.3 | 2.8";"";"40 | 22";"30 | 33";"";"14.7 | 9.2"
"Brazil";"BRA";"Carioca C";"30-06-2026 14:45";"POSTPONED";"Campos AA";"";"";"Uni Souza";"6.2 | 5.2";"2.5 | 3.9";"9";"64";"47";"42";"30";"20.8";"12 | 12.5";"8.4 | 8.6";"7.9";"4.1 | 4.6";"2.8 | 4.2";"9.9";"57 | 71";"88 | 44";"9";"9.2 | 12.5"
"Chile";"CHI";"Chilean Cup";"30-06-2026 19:00";"NS";"Audax Italiano";"";"";"Palestino";"4.6 | 4.9";"5.5 | 5.7";"10.4";"80";"80";"70";"50";"29.7";"12 | 16.1";"15.6 | 15.7";"10.2";"3.7 | 6.3";"4.6 | 5.9";"10.1";"60 | 50";"40 | 30";"10";"7.9 | 8.7"
"Chile";"CHI";"Chilean Cup";"30-06-2026 21:30";"NS";"Universidad Católica";"";"";"Everton";"5.8 | 6.1";"4.3 | 5.6";"10.9";"90";"90";"60";"45";"27.8";"15.1 | 13.4";"12.2 | 14.8";"9.2";"5.3 | 5.3";"2.7 | 5";"10.1";"70 | 30";"50 | 40";"11";"4.4 | 6.7"
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 13:00";"NS";"General Caballero CG";"";"";"29 de Setiembre";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 15:30";"NS";"Olimpia Itá";"";"";"Sportivo Valois Rivarola";"9 | 1.5";"2 | 5.5";"9";"75";"50";"25";"25";"";"";"";"";"";"";"8";"";"100 | 0";"8";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 18:00";"NS";"14 de Mayo F. Yegros";"";"";"Campo Florido";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"30-06-2026 15:00";"NS";"Central Ballester";"";"";"Atlas";"2.5 | 5";"4.9 | 3.9";"8.2";"60";"35";"30";"20";"16.6";"5.6 | 10.3";"8.1 | 9.2";"6.6";"2.1 | 4.3";"3.4 | 3.4";"7.8";"70 | 70";"10 | 50";"8";"7 | 11.4"
"Argentina";"ARG";"Primera C";"30-06-2026 15:00";"NS";"Claypole";"";"";"Cañuelas";"5.7 | 3.6";"3 | 3.6";"8";"50";"40";"25";"15";"16.4";"8.4 | 8.6";"8.4 | 7.3";"7";"3.1 | 4.1";"3.1 | 3.6";"7.8";"70 | 20";"80 | 40";"8";"9.9 | 6.6"
"Australia";"AUS";"New South Wales";"30-06-2026 07:00";"FT";"SD Raiders";"0";"1";"Sydney II";"3.7 | 4.9";"4.2 | 4.8";"8.8";"63";"46";"25";"20";"21.6";"10.9 | 12.1";"10.2 | 10";"9.4";"5.7 | 4.7";"3.9 | 4.6";"9.3";"44 | 30";"56 | 50";"9";"7.3 | 8.7"
"Australia";"AUS";"Brisbane Reserves Premier League";"30-06-2026 06:30";"NS";"Newmarket U23";"";"";"North Lakes United U23";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";""
"Australia";"AUS";"Queensland Premier League";"30-06-2026 07:30";"INPLAY_2ND_HALF";"Logan Lightning";"4";"1";"Redlands United";"4.1 | 4.2";"4.5 | 5.8";"9.3";"65";"50";"45";"32";"22.8";"13.9 | 11.5";"10.4 | 10";"11.7";"6.4 | 6.1";"5.9 | 5.1";"10";"50 | 60";"25 | 20";"10";"11.6 | 5.2"
"Australia";"AUS";"New South Wales NPL Youth League";"30-06-2026 05:00";"DELAYED";"SD Raiders U20";"";"";"Sydney U20";"5.9 | 5.1";"5.2 | 3.3";"9.8";"72";"59";"53";"42";"22.8";"13.6 | 10.1";"11.5 | 10.4";"11.4";"6 | 6.2";"6.1 | 4.4";"9.1";"38 | 57";"38 | 67";"10";"7.2 | 4"
"Australia";"AUS";"Victoria NPL 2 Youth";"30-06-2026 06:00";"AWAITING_UPDATES";"Bayside Argonauts U23";"";"";"Kingston City U23";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";""
"Australia";"AUS";"Victoria Dockerty Cup";"30-06-2026 06:30";"FT";"Brunswick Juventus";"0";"2";"Heidelberg United";"5.1 | 7.4";"5.4 | 3.6";"10.8";"80";"75";"65";"50";"18.8";"8.1 | 15.2";"7.3 | 7";"8.8";"2.8 | 7.7";"3.3 | 3.8";"";"30 | 70";"30 | 80";"";"10.1 | 8.4"
"Australia";"AUS";"Queensland PL Youth";"30-06-2026 05:30";"FT";"Logan Lightning U23";"0";"0";"Redlands United U23";"6 | 5";"5 | 4.9";"10.4";"70";"64";"58";"53";"24.6";"14.6 | 11.2";"11.2 | 12.2";"11.9";"7.4 | 5";"5.1 | 6.2";"9.9";"67 | 88";"67 | 62";"10";"4.7 | 10.2"
"Australia";"AUS";"Queensland PL Youth";"30-06-2026 06:30";"TBA";"Robina City U23";"";"";"Capalaba U23";"6.9 | 3.7";"4.4 | 5.8";"10.4";"74";"74";"69";"46";"21.8";"13.6 | 7.7";"9 | 13.4";"11.6";"8 | 3.2";"5.4 | 6.6";"9.9";"50 | 40";"50 | 40";"11";"3.7 | 5.5"
"Brazil";"BRA";"Serie C";"30-06-2026 19:30";"NS";"Caxias";"";"";"Anápolis";"3.4 | 4.6";"4.6 | 6.1";"9.4";"75";"60";"55";"50";"24.8";"12.5 | 13.9";"10.9 | 12.2";"9.2";"5.3 | 4.7";"4 | 4.3";"10.5";"40 | 40";"40 | 40";"10";"10.4 | 12.6"
"Brazil";"BRA";"Serie C";"30-06-2026 20:30";"NS";"Botafogo PB";"";"";"Brusque";"6.1 | 5.6";"5.7 | 8.2";"12.8";"90";"85";"80";"80";"27.8";"14.4 | 11.8";"13.1 | 16.3";"9.8";"5 | 4.4";"5.3 | 4.9";"10.5";"60 | 50";"50 | 50";"11";"11.1 | 7.9"
"Brazil";"BRA";"Serie C";"30-06-2026 20:30";"NS";"Volta Redonda";"";"";"Amazonas";"5 | 3.7";"4.2 | 3.8";"8.4";"50";"45";"40";"35";"21.5";"11.8 | 8.1";"12 | 11";"8.2";"4.3 | 2.8";"4.8 | 4.4";"10.5";"70 | 60";"60 | 40";"9";"14.8 | 7.4"
"Brazil";"BRA";"Amazonense U20";"30-06-2026 16:00";"NS";"Desportivo Librade U20";"";"";"Clipper U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";""
"Brazil";"BRA";"Amazonense U20";"30-06-2026 16:00";"NS";"Inter Academy U20";"";"";"Sul América U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";""
